Experiment config,barcode,batch_size,directory,early_stopping_patience,epochs,eval_batch_size,learning_rate,loss_type,memorization_test,rotation_batch_size,save_interval,scalar_predictor,seed,task_name,task_type,test_after_training,test_aug_group,track_oct_equivariance_error,track_so3_equivariance_error,train_aug_group,val_aug_group,validation_interval,dataset_additional_test_datasets_Re5200_middle_input_prefix,dataset_additional_test_datasets_Re5200_middle_target_prefix,dataset_additional_test_datasets_Re5200_nearwall_input_prefix,dataset_additional_test_datasets_Re5200_nearwall_target_prefix,dataset_boxes,dataset_input_prefix,dataset_sampling_method,dataset_target_prefix,dataset_test_samples,dataset_test_split,dataset_train_samples,dataset_train_split,dataset_val_samples,dataset_val_split,model_hidden_channels,model_input_channels,model_is_3d,model_model_type,model_output_channels,model_upscale_factor,test_loss,abs_equiv_error,abs_equiv_error_u,abs_equiv_error_v,abs_equiv_error_w,k_spec_error,spec_error,additional_test_losses,additional_abs_equiv_errors,test_loss_middle,test_loss_nearwall,additional_abs_equiv_errors_middle,additional_abs_equiv_errors_nearwall
,25_12_30_08:37:51_active_tahr_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_08:37:51_active_tahr_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,25,0.67,all,0.2,128,3,True,srCNN,3,4,0.002887425012886524,0.004601820922372016,0.0025945272592997008,0.0020962324536715946,0.0021806237795813518,,,"{'Re5200_middle': 0.007321540421495835, 'Re5200_nearwall': 0.014294425956904888}","{'Re5200_middle': (0.005345695186406374, 0.0030227208820482097, 0.0024511282487461963, 0.002505924475068847), 'Re5200_nearwall': (0.010237008333206177, 0.005743497206519048, 0.004789583384990692, 0.004771512001752853)}",0.002887425012886524,0.007964555978436361,"(0.004601820922372016, 0.0025945272592997008, 0.0020962324536715946, 0.0021806237795813518)","(0.010355976410210133, 0.005813256117769263, 0.004838716125849522, 0.004832800957515385)"
,25_12_30_08:37:52_ace_caiman_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_08:37:52_ace_caiman_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,10,0.67,all,0.2,128,3,True,srCNN,3,4,0.0031404322732917285,0.005372691095213999,0.002986509268256751,0.002578015516822537,0.0024709017439322038,,,"{'Re5200_middle': 0.007510157922903697, 'Re5200_nearwall': 0.014713143929839134}","{'Re5200_middle': (0.006062507163733244, 0.0033595535593728223, 0.0029004983759174743, 0.0028048083186149597), 'Re5200_nearwall': (0.012079753602544466, 0.006614731469502051, 0.005807103589177132, 0.005639172003914912)}",0.0031404322732917285,0.00872183469773242,"(0.005372691095213999, 0.002986509268256751, 0.002578015516822537, 0.0024709017439322038)","(0.012520929177602133, 0.006855966777286746, 0.006030112067519715, 0.005849768139534827)"
,25_12_30_08:37:52_bright_dory_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_08:37:52_bright_dory_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,1,0.67,all,0.2,128,3,True,srCNN,3,4,0.006253509175483928,0.013477337885309349,0.007347005786317767,0.005849678831344301,0.0069690931616633225,,,"{'Re5200_middle': 0.009725159965455532, 'Re5200_nearwall': 0.018749306599299114}","{'Re5200_middle': (0.013422553117076555, 0.007346927809218566, 0.005761199630796909, 0.006958382514615853), 'Re5200_nearwall': (0.0265354011207819, 0.014359943568706512, 0.011200749004880587, 0.014024633603791395)}",0.006253509175483928,0.014357221595039873,"(0.013477337885309349, 0.007347005786317767, 0.005849678831344301, 0.0069690931616633225)","(0.027882942083207043, 0.015159557347722126, 0.011850125636115219, 0.014639659135630636)"
,25_12_30_08:37:53_suited_calf_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_08:37:53_suited_calf_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,50,0.67,all,0.2,128,3,True,srCNN,3,4,0.002539893188937144,0.00410416718064384,0.0022915539430510817,0.0019445313655799537,0.0018931558376855471,,,"{'Re5200_middle': 0.007071835454553366, 'Re5200_nearwall': 0.013854679030676683}","{'Re5200_middle': (0.004938794144739707, 0.0027766677861412368, 0.0023287062843640647, 0.0022698104536781707), 'Re5200_nearwall': (0.009262061056991419, 0.005254519792894523, 0.0044322942073146505, 0.00413080429037412)}",0.002539893188937144,0.007135086523538286,"(0.00410416718064384, 0.0022915539430510817, 0.0019445313655799537, 0.0018931558376855471)","(0.009273494424467737, 0.005237040561482761, 0.0044648462454929495, 0.004131375981325453)"
,25_12_30_09:03:01_clever_pup_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_09:03:01_clever_pup_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,100,0.67,all,0.2,128,3,True,srCNN,3,4,0.0023060257222051873,0.0037264617611512995,0.0021007044388997283,0.0017718330314947348,0.0016933450066117625,,,"{'Re5200_middle': 0.0069131734780967236, 'Re5200_nearwall': 0.013639825396239758}","{'Re5200_middle': (0.004638389063378175, 0.002619125492249926, 0.002185283306365212, 0.002126369586524864), 'Re5200_nearwall': (0.008643193791309992, 0.004917806635300319, 0.003988030056158702, 0.004016067211826642)}",0.0023060257222051873,0.0067335748621685934,"(0.0037264617611512995, 0.0021007044388997283, 0.0017718330314947348, 0.0016933450066117625)","(0.00844848421261166, 0.004792100735798929, 0.003916415308291714, 0.003921232447310379)"
,25_12_30_09:10:52_fast_cattle_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_09:10:52_fast_cattle_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,500,0.67,all,0.2,128,3,True,srCNN,3,4,0.00195523837553055,0.0034760191867297344,0.0019428596980023112,0.0016178525031798265,0.0016145164986620798,,,"{'Re5200_middle': 0.006724697692940633, 'Re5200_nearwall': 0.013423720685144266}","{'Re5200_middle': (0.004648166708648205, 0.002601485699415207, 0.002170788977916042, 0.00216556751790146), 'Re5200_nearwall': (0.008612380673487982, 0.004819574144979318, 0.004009372554719448, 0.004036586421231429)}",0.00195523837553055,0.006323125834266345,"(0.0034760191867297344, 0.0019428596980023112, 0.0016178525031798265, 0.0016145164986620798)","(0.008305354551835493, 0.004628011067821221, 0.003866372150227879, 0.003895901023607814)"
,25_12_30_09:21:54_polite_hog_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_09:21:54_polite_hog_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,1500,0.67,all,0.2,128,3,True,srCNN,3,4,0.0018696552989157763,0.003393957962874662,0.0018905711917658195,0.0015720633197237146,0.0015869417552356467,"[ 368.15538909  613.59231515  859.02924122 1104.46616728 1349.90309334
 1595.3400194  1840.77694546 2086.21387152 2331.65079759 2577.08772365
 2822.52464971 3067.96157577 3313.39850183 3558.83542789 3804.27235396
 4049.70928002 4295.14620608 4540.58313214 4786.0200582  5031.45698426]","[2.19188235e-09 1.32907969e-09 1.22198641e-09 9.78153603e-10
 8.50348111e-10 7.06377120e-10 7.75100721e-10 7.02814188e-10
 6.75466888e-10 6.15527377e-10 6.02694853e-10 5.97238022e-10
 6.06885450e-10 5.72141655e-10 6.17559627e-10 7.85828630e-10
 6.52498405e-10 5.98179303e-10 6.01047338e-10 5.16781773e-10]","{'Re5200_middle': 0.006672492095579703, 'Re5200_nearwall': 0.013347663916647434}","{'Re5200_middle': (0.004707113839685917, 0.0026308762220044932, 0.002189750123458604, 0.0022018686092148223), 'Re5200_nearwall': (0.008508917254706224, 0.004783084460844596, 0.003948087493578593, 0.003976864585032065)}",0.0018696552989157763,0.006143495355817405,"(0.003393957962874662, 0.0018905711917658195, 0.0015720633197237146, 0.0015869417552356467)","(0.008047607741459753, 0.0045035863154088, 0.0037329741824192533, 0.0037663459255726952)"
,25_12_30_09:44:03_warm_oriole_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_09:44:03_warm_oriole_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,oct,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,1,0.67,all,0.2,128,3,True,srCNN,3,4,0.003274117906888326,0.0050198963109516735,0.0030139055328838754,0.0020022140886408815,0.0024602034792416926,,,"{'Re5200_middle': 0.0076175301025311155, 'Re5200_nearwall': 0.014627324727674326}","{'Re5200_middle': (0.005546324265499909, 0.0033078137009094157, 0.0022235228680074215, 0.002745008406539758), 'Re5200_nearwall': (0.010845250139633814, 0.006430358936389287, 0.004240996204316616, 0.005517941278715928)}",0.003274117906888326,0.008391154436112352,"(0.0050198963109516735, 0.0030139055328838754, 0.0020022140886408815, 0.0024602034792416926)","(0.010976151450339592, 0.006561827154434992, 0.004274632739411159, 0.00554768086382837)"
,25_12_30_10:08:29_helped_fox_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_10:08:29_helped_fox_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,oct,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,10,0.67,all,0.2,128,3,True,srCNN,3,4,0.0027585155542262578,0.0038936295913475933,0.002176260371043375,0.0016884067780197117,0.0019608433076152296,,,"{'Re5200_middle': 0.007240688893944025, 'Re5200_nearwall': 0.014086319754521051}","{'Re5200_middle': (0.004424144669125478, 0.002479228579128782, 0.0019317550274233024, 0.002209732929865519), 'Re5200_nearwall': (0.008194624446332455, 0.004596338762591283, 0.0034261445980519056, 0.004255592978248994)}",0.0027585155542262578,0.0075237024998800325,"(0.0038936295913475933, 0.002176260371043375, 0.0016884067780197117, 0.0019608433076152296)","(0.00834569176941207, 0.004666959782215682, 0.003503601560651353, 0.004341961463179552)"
,25_12_30_10:40:22_rich_bream_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_10:40:22_rich_bream_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,oct,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,25,0.67,all,0.2,128,3,True,srCNN,3,4,0.0028486374455193677,0.003436359725045887,0.0020333605776117606,0.001579163740671268,0.0015136140370459268,,,"{'Re5200_middle': 0.007345087205370267, 'Re5200_nearwall': 0.01422177068889141}","{'Re5200_middle': (0.003951675180966656, 0.0023401217379917703, 0.0018019511286790173, 0.0017549389352401097), 'Re5200_nearwall': (0.0071880218262473745, 0.004205690075953801, 0.003305742439503471, 0.003236148584013184)}",0.0028486374455193677,0.007731896006699764,"(0.003436359725045887, 0.0020333605776117606, 0.001579163740671268, 0.0015136140370459268)","(0.007210612127726728, 0.004217164943728483, 0.0033278098174681268, 0.0032306319723526635)"
,25_12_30_10:53:56_polite_cod_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_10:53:56_polite_cod_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,oct,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,50,0.67,all,0.2,128,3,True,srCNN,3,4,0.0023892865812575274,0.0029009521769529038,0.0017114010724154386,0.0013096037948729866,0.001303375917345737,,,"{'Re5200_middle': 0.007007369150718053, 'Re5200_nearwall': 0.013725806338091692}","{'Re5200_middle': (0.0035482023376971483, 0.0020918248143667975, 0.0016157466840619843, 0.0015847157531728346), 'Re5200_nearwall': (0.006385601746539275, 0.0037010122711459794, 0.002863940860455235, 0.002972999665265282)}",0.0023892865812575274,0.006841791412708434,"(0.0029009521769529038, 0.0017114010724154386, 0.0013096037948729866, 0.001303375917345737)","(0.006236490327864885, 0.003619087824710842, 0.002791639276300416, 0.0029061132068322463)"
,25_12_30_11:24:49_expert_teal_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_11:24:49_expert_teal_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,oct,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,100,0.67,all,0.2,128,3,True,srCNN,3,4,0.0021746419476006518,0.0025567717243437514,0.0015042627787669048,0.0012187497570376956,0.0010891213949600403,,,"{'Re5200_middle': 0.006849062784264485, 'Re5200_nearwall': 0.013558852796753248}","{'Re5200_middle': (0.0031940659197668233, 0.0018871539505198598, 0.0014998704039802153, 0.0013746397647385795), 'Re5200_nearwall': (0.00564583499605457, 0.0032926651959617934, 0.002711664574841658, 0.0024180649779736996)}",0.0021746419476006518,0.006461641215013735,"(0.0025567717243437514, 0.0015042627787669048, 0.0012187497570376956, 0.0010891213949600403)","(0.005390900173083399, 0.0031214536972005258, 0.0026141608303243465, 0.002307894928945285)"
,25_12_30_12:02:52_rare_snake_middle_boxfilter_4x_sr,32,./outputs/dec30_random/25_12_30_12:02:52_rare_snake_middle_boxfilter_4x_sr,100000000,3000,16,0.0006,L1,False,1,100,False,42,middle_boxfilter_4x_sr,sr,True,,False,False,oct,,20,channel5200_middle_filtered_fs4,channel5200_middle,channel5200_nearwall_filtered_fs4,channel5200_nearwall,[0],channel_middle_filtered_fs4,random,channel_middle,all,0.13,500,0.67,all,0.2,128,3,True,srCNN,3,4,0.0018418479682595441,0.0021293775785262837,0.0012787120720145829,0.0009294857824870357,0.0009576917121497294,,,"{'Re5200_middle': 0.006664115935564041, 'Re5200_nearwall': 0.013282383481661478}","{'Re5200_middle': (0.002934184313441316, 0.001744989965421458, 0.0013163509235406916, 0.0013092261894295614), 'Re5200_nearwall': (0.00530834977204601, 0.0031078900986661515, 0.002426298956076304, 0.0023869669530540705)}",0.0018418479682595441,0.005865365845348799,"(0.0021293775785262837, 0.0012787120720145829, 0.0009294857824870357, 0.0009576917121497294)","(0.004906400741839951, 0.002864553959983768, 0.002247041514651342, 0.002208318349651315)"
